"hasAttachedProperty","hasCooling","hasGarage","hasHeating","hasSpa","hasView","stories","price","bathrooms","bedrooms","city","population","distanceToCoast","AvgIncomeCity","hasPool","furnished","additionalParcels","hasAssociation","hasCarport","hasFireplace","hasHomeWarranty","hasLandLease","isNewConstruction","LivingArea","Yearsold","schoolRating","homeType","homeRating"
0,1,1,1,0,1,1,870000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1345","69","7",3,2
0,1,1,1,0,1,1,865000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1536","69","7",3,1
0,1,1,0,0,1,1,842550,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1276","68","7",3,1
0,1,1,1,0,1,1,925000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,1,1,0,0,0,"1235","70","7",3,1
0,1,1,1,0,1,1,875000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1456","72","7",3,1
0,0,1,1,0,1,1,850000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1139","69","7",3,1
0,1,1,1,0,1,1,870000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1138","69","7",3,1
0,0,0,0,0,0,1,965000,2.5,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"2103","72","7",3,2
0,1,1,1,0,1,1,950000,2,3,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"1293","69","7",3,2
0,0,0,0,0,0,1,813000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1702","52","7",3,2
0,1,1,1,0,1,1,895000,2,3,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"1141","67","7",3,1
0,0,1,1,0,1,1,840000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"1369","70","7",3,2
